Hora;Minuto;Segundo;Tiempo de retardo de toma de datos [ms];;Distancia
15;29;25.785.205;30.399; ;000.01
15;29;25.815.604;29.269; ;000.01
15;29;25.844.873;31.732; ;000.01
15;29;25.876.605;29.593; ;000.01
15;29;25.906.198;29.201; ;000.01
15;29;25.935.399;29.660; ;000.01
15;29;25.965.059;29.871; ;000.01
15;29;25.994.930;30.995; ;000.01
15;29;26.025.925;32.437; ;+0008.38
15;29;26.058.362;31.431; ;+0008.38
15;29;26.089.793;32.082; ;+0008.38
15;29;26.121.875;31.436; ;+0008.38
15;29;26.153.311;54.963; ;+0008.38
15;29;26.208.274;30.415; ;+0008.38
15;29;26.238.689;31.371; ;+0008.38
15;29;26.270.060;30.895; ;+0008.38
15;29;26.300.955;29.325; ;+0008.38
15;29;26.330.280;30.778; ;+0008.38
15;29;26.361.058;30.006; ;+0008.38
15;29;26.391.064;29.979; ;+0008.38
15;29;26.421.043;29.882; ;+0008.38
15;29;26.450.925;29.477; ;+0008.38
15;29;26.480.402;29.684; ;+0008.38
15;29;26.510.086;29.884; ;+0008.38
15;29;26.539.970;30.379; ;+0008.38
15;29;26.570.349;29.222; ;+0008.38
15;29;26.599.571;29.645; ;+0008.38
15;29;26.629.216;54.658; ;+0008.38
15;29;26.683.874;30.301; ;+0008.38
15;29;26.714.175;28.966; ;+0008.38
15;29;26.743.141;31.387; ;+0008.38
15;29;26.774.528;29.770; ;+0008.38
15;29;26.804.298;29.435; ;+0008.38
15;29;26.833.733;29.910; ;+0008.38
15;29;26.863.643;28.843; ;+0008.38
15;29;26.892.486;29.703; ;+0008.38
15;29;26.922.189;29.641; ;+0008.38
15;29;26.951.830;30.254; ;+0008.38
15;29;26.982.084;29.659; ;+0008.38
15;29;27.011.743;30.401; ;+0008.38
15;29;27.042.144;29.089; ;+0008.38
15;29;27.071.233;30.046; ;+0008.38
15;29;27.101.279;29.744; ;+0008.38
15;29;27.131.023;30.083; ;+0008.38
15;29;27.161.106;31.185; ;+0008.38
15;29;27.192.291;29.241; ;+0008.38
15;29;27.221.532;30.176; ;+0008.38
15;29;27.251.708;29.890; ;+0008.38
15;29;27.281.598;31.321; ;+0008.38
15;29;27.312.919;31.167; ;+0008.38
15;29;27.344.086;30.096; ;+0008.38
15;29;27.374.182;31.500; ;+0008.38
15;29;27.405.682;29.744; ;+0008.38
15;29;27.435.426;30.051; ;+0008.38
15;29;27.465.477;29.908; ;+0008.38
15;29;27.495.385;31.112; ;+0008.38
15;29;27.526.497;28.984; ;+0008.38
15;29;27.555.481;29.661; ;+0008.38
15;29;27.585.142;30.231; ;+0008.38
15;29;27.615.373;31.405; ;+0008.38
15;29;27.646.778;28.920; ;+0008.38
15;29;27.675.698;29.664; ;+0008.38
15;29;27.705.362;29.863; ;+0008.38
15;29;27.735.225;30.101; ;+0008.38
15;29;27.765.326;29.584; ;+0008.38
15;29;27.794.910;30.201; ;+0008.38
15;29;27.825.111;29.931; ;+0008.38
15;29;27.855.042;30.547; ;+0008.38
15;29;27.885.589;29.133; ;+0008.38
15;29;27.914.722;29.985; ;+0008.38
15;29;27.944.707;28.998; ;+0008.38
15;29;27.973.705;29.686; ;+0008.41
15;29;28.003.391;29.659; ;+0008.41
15;29;28.033.050;29.459; ;+0008.41
15;29;28.062.509;30.122; ;+0008.41
15;29;28.092.631;49.023; ;+0008.41
15;29;28.141.654;29.303; ;+0008.41
15;29;28.170.957;30.219; ;+0008.41
15;29;28.201.176;30.053; ;+0008.41
15;29;28.231.229;29.967; ;+0008.41
15;29;28.261.196;29.380; ;+0008.41
15;29;28.290.576;29.018; ;+0008.41
15;29;28.319.594;29.311; ;+0008.41
15;29;28.348.905;29.931; ;+0008.41
15;29;28.378.836;29.403; ;+0008.41
15;29;28.408.239;29.964; ;+0008.41
15;29;28.438.203;30.585; ;+0008.41
15;29;28.468.788;29.461; ;+0008.41
15;29;28.498.249;30.917; ;+0008.41
15;29;28.529.166;30.186; ;+0008.41
15;29;28.559.352;30.616; ;+0008.41
15;29;28.589.968;29.382; ;+0008.41
15;29;28.619.350;31.021; ;+0008.41
15;29;28.650.371;29.134; ;+0008.41
15;29;28.679.505;29.806; ;+0008.41
15;29;28.709.311;30.036; ;+0008.41
15;29;28.739.347;29.355; ;+0008.41
15;29;28.768.702;30.480; ;+0008.41
15;29;28.799.182;30.185; ;+0008.41
15;29;28.829.367;29.771; ;+0008.41
15;29;28.859.138;29.800; ;+0008.41
15;29;28.888.938;30.276; ;+0008.41
15;29;28.919.214;29.718; ;+0008.41
15;29;28.948.932;31.024; ;+0008.41
15;29;28.979.956;29.135; ;+0008.41
15;29;29.009.091;30.763; ;+0008.41
15;29;29.039.854;30.430; ;+0008.41
15;29;29.070.284;29.486; ;+0008.41
15;29;29.099.770;30.064; ;+0008.41
15;29;29.129.834;29.140; ;+0008.41
15;29;29.158.974;30.193; ;+0008.41
15;29;29.189.167;29.179; ;+0008.41
15;29;29.218.346;29.733; ;+0008.41
15;29;29.248.079;29.488; ;+0008.41
15;29;29.277.567;30.184; ;+0008.41
15;29;29.307.751;29.303; ;+0008.41
15;29;29.337.054;29.923; ;+0008.41
15;29;29.366.977;29.410; ;+0008.41
15;29;29.396.387;30.503; ;+0008.41
15;29;29.426.890;29.195; ;+0008.41
15;29;29.456.085;31.111; ;+0008.41
15;29;29.487.196;29.940; ;+0008.41
15;29;29.517.136;30.401; ;+0008.41
15;29;29.547.537;29.072; ;+0008.41
15;29;29.576.609;29.831; ;+0008.41
15;29;29.606.440;29.934; ;+0008.41
15;29;29.636.374;29.023; ;+0008.41
15;29;29.665.397;29.737; ;+0008.41
15;29;29.695.134;29.785; ;+0008.41
15;29;29.724.919;29.582; ;+0008.41
15;29;29.754.501;30.156; ;+0008.47
15;29;29.784.657;29.825; ;+0008.47
15;29;29.814.482;31.144; ;+0008.47
15;29;29.845.626;29.881; ;+0008.47
15;29;29.875.507;29.712; ;+0008.47
15;29;29.905.219;29.772; ;+0008.47
15;29;29.934.991;28.880; ;+0008.47
15;29;29.963.871;29.985; ;+0008.47
15;29;29.993.856;30.664; ;+0008.47
15;29;30.024.520;28.800; ;+0008.47
15;29;30.053.320;29.346; ;+0008.47
15;29;30.082.666;30.267; ;+0008.47
15;29;30.112.933;30.882; ;+0008.47
15;29;30.143.815;30.417; ;+0008.47
15;29;30.174.232;29.206; ;+0008.47
15;29;30.203.438;29.454; ;+0008.47
15;29;30.232.892;29.914; ;+0008.47
15;29;30.262.806;29.338; ;+0008.47
15;29;30.292.144;30.236; ;+0008.47
15;29;30.322.380;29.349; ;+0008.47
15;29;30.351.729;30.901; ;+0008.47
15;29;30.382.630;31.127; ;+0008.47
15;29;30.413.757;29.336; ;+0008.47
15;29;30.443.093;30.199; ;+0008.47
15;29;30.473.292;29.112; ;+0008.47
15;29;30.502.404;29.996; ;+0008.47
15;29;30.532.400;29.039; ;+0008.47
15;29;30.561.439;29.501; ;+0008.47
15;29;30.590.940;30.011; ;+0008.47
15;29;30.620.951;29.521; ;+0008.47
15;29;30.650.472;29.465; ;+0008.47
15;29;30.679.937;31.931; ;+0008.47
