Hora Unix;Hora Local;Distancia;Ticks;GIROSCOPIO;ACELEROMETRO;MAGNETROMETRO;;
1.736.428.304.867.660;2025-01-09 10:11:44.867663;000.01;0; ; ; ;;
1.736.428.304.899.830;2025-01-09 10:11:44.899836;000.01;0; ; ; ;;
1.736.428.304.930.320;2025-01-09 10:11:44.930328;000.01;0; ; ; ;;
1.736.428.304.960.990;2025-01-09 10:11:44.960999;000.01;0; ; ; ;;
1.736.428.304.991.650;2025-01-09 10:11:44.991654;000.01;0; ; ; ;;
1.736.428.305.021.630;2025-01-09 10:11:45.021638;000.01;0; ; ; ;;
173.642.830.505.114;2025-01-09 10:11:45.051140;000.01;0; ; ; ;;
1.736.428.305.080.230;2025-01-09 10:11:45.080238;000.01;0; ; ; ;;
1.736.428.305.155.020;2025-01-09 10:11:45.155023;000.01;0; ; ; ;;
1.736.428.305.185.170;2025-01-09 10:11:45.185175;000.01;0; ; ; ;;
1.736.428.305.214.510;2025-01-09 10:11:45.214516;000.01;0; ; ; ;;
1.736.428.305.243.540;2025-01-09 10:11:45.243548;000.01;0; ; ; ;;
1.736.428.305.273.650;2025-01-09 10:11:45.273652;000.01;0; ; ; ;;
1.736.428.305.303.880;2025-01-09 10:11:45.303888;000.01;0; ; ; ;;
1.736.428.305.332.870;2025-01-09 10:11:45.332877;000.01;0; ; ; ;;
1.736.428.305.362.670;2025-01-09 10:11:45.362674;000.01;0; ; ; ;;
173.642.830.539.229;2025-01-09 10:11:45.392290;000.01;0; ; ; ;;
1.736.428.305.422.230;2025-01-09 10:11:45.422238;000.01;0; ; ; ;;
173.642.830.545.207;2025-01-09 10:11:45.452070;000.01;0; ; ; ;;
1.736.428.305.481.830;2025-01-09 10:11:45.481831;000.01;0; ; ; ;;
1.736.428.305.511.230;2025-01-09 10:11:45.511233;000.01;0; ; ; ;;
1.736.428.305.541.510;2025-01-09 10:11:45.541512;000.01;0; ; ; ;;
1.736.428.305.570.160;2025-01-09 10:11:45.570165;000.01;0; ; ; ;;
1.736.428.305.600.480;2025-01-09 10:11:45.600489;000.01;0; ; ; ;;
1.736.428.305.630.330;2025-01-09 10:11:45.630331;000.01;0; ; ; ;;
1.736.428.305.660.690;2025-01-09 10:11:45.660696;000.01;0; ; ; ;;
1.736.428.305.689.750;2025-01-09 10:11:45.689755;000.01;0; ; ; ;;
1.736.428.305.719.270;2025-01-09 10:11:45.719278;000.01;0; ; ; ;;
1.736.428.305.748.890;2025-01-09 10:11:45.748892;000.01;0; ; ; ;;
